SNO,SYMBOL,LOW10,NOW,HIGH10,$PRICAGE,%(+/-)NOW,%(+/-)LOW10,%(+/-)HIGH10,%MOVE,%VOLCAGE,VolR,PriR
1,QEP,Sep 27: 11.0,11.84,Oct 04: 0.0,0.24,+2.07%,+7.64%,-1.74%,+8.87%,-61.0%,9,3
2,AAPL,Sep 25: 219.7,226.2,Oct 03: 0.0,2.43,+1.09%,+2.96%,-3.11%,+6.09%,-49.0%,9,3
3,AMZN,Oct 08: 1830.66,1886.37,Oct 01: 0.0,21.95,+1.18%,+3.04%,-7.22%,+10.74%,-63.0%,9,3
4,NVDA,Oct 08: 260.08,265.49,Oct 02: 0.0,-0.28,-0.11%,+2.08%,-9.31%,+12.31%,-62.0%,9,9
5,CVX,Sep 27: 121.71,126.5,Oct 09: 0.0,1.66,+1.33%,+3.93%,-0.15%,+3.93%,-60.0%,9,3
6,GOOGL,Oct 08: 1135.4,1157.9,Oct 02: 0.0,1.97,+0.17%,+1.98%,-5.44%,+7.7%,-66.0%,9,4
7,MSFT,Oct 08: 109.34,112.56,Oct 03: 0.0,1.71,+1.54%,+2.95%,-3.11%,+6.08%,-58.0%,9,3
8,IQ,Oct 08: 24.73,26.13,Sep 27: 0.0,-0.31,-1.17%,+5.66%,-7.86%,+13.89%,-63.0%,9,9
9,INTC,Sep 28: 45.46,47.1,Oct 03: 0.0,0.07,+0.15%,+3.61%,-5.27%,+9.04%,-54.0%,9,4
10,XOM,Oct 08: 84.65,86.47,Sep 25: 0.0,0.34,+0.39%,+2.15%,-1.02%,+3.13%,-72.0%,9,4
11,VZ,Sep 25: 52.92,54.98,Oct 05: 0.0,-0.04,-0.07%,+3.89%,-0.83%,+4.58%,-50.0%,9,9
12,ANET,Oct 09: 238.11,239.29,Sep 25: 0.0,-3.92,-1.61%,+0.5%,-13.3%,+15.83%,-62.0%,9,9
13,TWTR,Oct 08: 27.72,29.36,Sep 27: 0.0,0.91,+3.22%,+5.93%,-1.09%,+6.71%,-46.0%,9,2
14,BIDU,Oct 08: 198.19,202.9,Sep 26: 0.0,-1.07,-0.53%,+2.38%,-12.76%,+16.95%,-58.0%,9,9
15,DIS,Sep 25: 112.65,117.16,Oct 03: 0.0,1.14,+0.98%,+4.0%,-0.8%,+4.65%,-46.0%,9,4
16,NFLX,Oct 08: 338.11,355.7,Oct 02: 0.0,6.6,+1.89%,+5.2%,-8.04%,+13.69%,-64.0%,9,3
