NAME,SYMBOL,CURRENCY,CLOSING-VALUE,HIGH-VALUE,HIGH-PERCENT,HIGH-DATE,LOW-VALUE,LOW-PERCENT,LOW-DATE
NYQ,QEP,USD,10.24,13.77,25.64,10/07/2018,10.05,-1.89,26/07/2018
NMS,AAPL,USD,190.98,195.96,2.54,26/07/2018,182.91,-4.41,29/06/2018
NMS,AMZN,USD,1817.27,1880.05,3.34,27/07/2018,1678.06,-8.3,02/07/2018
NMS,NVDA,USD,252.02,256.6,1.78,27/07/2018,233.26,-8.04,02/07/2018
NYQ,CVX,USD,125.97,128.51,1.98,10/07/2018,119.67,-5.26,18/07/2018
NMS,GOOGL,USD,1252.89,1291.44,2.99,27/07/2018,1106.6,-13.22,02/07/2018
NMS,MSFT,USD,107.68,111.15,3.12,25/07/2018,98.0,-9.88,02/07/2018
NMS,IQ,USD,32.15,38.11,15.64,18/07/2018,28.94,-11.09,06/07/2018
NMS,INTC,USD,47.68,53.3,10.54,24/07/2018,47.48,-0.42,27/07/2018
NYQ,XOM,USD,81.92,84.4,2.94,26/07/2018,80.81,-1.37,27/07/2018
NYQ,VZ,USD,52.01,52.38,0.71,27/07/2018,49.7,-4.65,02/07/2018
NYQ,ANET,USD,271.28,281.2,3.53,19/07/2018,252.25,-7.54,05/07/2018
NYQ,TWTR,USD,34.12,46.9,27.25,09/07/2018,33.9,-0.65,27/07/2018
NMS,BIDU,USD,255.09,274.0,6.9,13/07/2018,236.28,-7.96,02/07/2018
NYQ,DIS,USD,112.62,114.68,1.8,19/07/2018,103.5,-8.81,03/07/2018
NMS,NFLX,USD,355.21,419.77,15.38,11/07/2018,344.0,-3.26,17/07/2018
